ADAEUR,8
APTEUR,28
ARBEUR,48
ATOMEUR,68
AVAXEUR,88
BCHEUR,108
BNBEUR,128
BTCEUR,148
CHZEUR,168
DOGEEUR,188
DOTEUR,208
EGLDEUR,228
ETHEUR,248
FTMEUR,268
GALAEUR,288
GMTEUR,308
GRTEUR,328
ICPEUR,348
LINKEUR,368
LTCEUR,388
MATICEUR,408
NEAREUR,428
OPEUR,448
PEPEEUR,468
RNDREUR,488
SHIBEUR,508
SOLEUR,528
SUIEUR,548
TRXEUR,568
VETEUR,588
XLMEUR,608
XRPEUR,628
ADATRY,648
APTTRY,668
ARBTRY,688
ATOMTRY,708
AVAXTRY,728
BCHTRY,748
BNBTRY,768
BTCTRY,788
CHZTRY,808
DOGETRY,828
DOTTRY,848
EGLDTRY,868
ETHTRY,888
FTMTRY,9
